Date,Product_ID,Category,Region,Units_Sold,Units_Ordered,Inventory_Level,Price,Discount,Competitor_Pricing,Holiday/Promotion,Weather_Condition,Seasonality
1/1/2022,70001,Groceries,North,145,101,281,54.524,28.282,55.748000000000005,1,Sunny,Winter
1/1/2022,70003,Toys,South,155,135,314,54.672,28.522,54.886,1,Sunny,Autumn
1/1/2022,70004,Toys,West,146,74,350,52.966,30.436,55.48,1,Sunny,Spring
1/1/2022,70005,Toys,North,91,152,337,54.628,27.82,55.614,1,Cloudy,Autumn
1/1/2022,70006,Electronics,East,143,80,292,55.112,28.456,54.53,1,Rainy,Winter
1/1/2022,70007,Groceries,South,220,130,348,57.424,23.014,59.472,1,Cloudy,Summer
1/1/2022,70008,Furniture,East,169,125,313,53.912,32.406,54.510000000000005,1,Rainy,Summer
1/1/2022,70009,Clothing,North,151,119,327,56.804,32.188,57.678,1,Snowy,Spring
1/1/2022,70010,Electronics,West,67,101,184,54.49,31.116000000000003,56.58,1,Rainy,Winter
1/1/2022,70011,Toys,South,78,148,193,55.30800000000001,29.18200000000001,53.894000000000005,1,Rainy,Summer
1/1/2022,70012,Furniture,South,109,99,250,53.962,34.336,54.11800000000001,1,Snowy,Spring
1/1/2022,70013,Clothing,West,64,123,250,55.014,26.012,56.196000000000005,1,Rainy,Spring
1/1/2022,70014,Toys,South,127,119,209,54.846,25.692,55.622,1,Cloudy,Spring
1/1/2022,70015,Clothing,West,195,94,357,56.614,23.438,58.3,1,Cloudy,Spring
1/1/2022,70016,Clothing,North,238,104,332,55.682,26.104000000000003,57.822,1,Cloudy,Autumn
1/1/2022,70017,Electronics,North,154,61,285,54.888,28.968,55.622,1,Rainy,Winter
1/1/2022,70018,Toys,West,237,122,347,55.974,21.754,55.32000000000001,1,Cloudy,Winter
1/1/2022,70019,Clothing,South,99,90,197,56.194,28.894,54.876,1,Cloudy,Spring
1/1/2022,70020,Clothing,East,160,132,269,55.102,29.128,55.434000000000005,1,Cloudy,Spring
1/1/2022,70021,Toys,East,148,78,249,55.02,27.298,56.148,1,Cloudy,Spring
1/1/2023,70001,Groceries,North,72,63,259,56.05,25.22,55.698,1,Cloudy,Summer
1/1/2023,70003,Toys,South,138,91,220,56.622,19.036,57.764,1,Rainy,Autumn
1/1/2023,70004,Toys,West,207,112,304,55.876,22.814,57.09,1,Snowy,Summer
1/1/2023,70005,Toys,North,221,111,370,54.988,27.564,55.858,1,Sunny,Autumn
1/1/2023,70006,Electronics,East,274,135,384,55.926,23.214,56.604,1,Rainy,Spring
1/1/2023,70007,Groceries,South,89,116,176,55.552,26.556,57.038,1,Rainy,Summer
1/1/2023,70008,Furniture,East,132,129,279,55.80799999999999,28.622000000000003,57.072,1,Snowy,Autumn
1/1/2023,70009,Clothing,North,242,103,314,56.08200000000001,27.524,56.266,1,Cloudy,Spring
1/1/2023,70010,Electronics,West,186,89,300,56.02,26.288,56.912,1,Snowy,Summer
1/1/2023,70011,Toys,South,126,141,270,57.36800000000001,21.844,59.128,1,Cloudy,Summer
1/1/2023,70012,Furniture,South,116,93,269,55.63199999999999,35.36,55.75,1,Snowy,Winter
1/1/2023,70013,Clothing,West,187,128,302,54.112,34.266,53.802,1,Cloudy,Winter
1/1/2023,70014,Toys,South,253,99,429,56.702,21.814,56.84,1,Sunny,Winter
1/1/2023,70015,Clothing,West,240,82,393,54.178,33.245999999999995,54.92,1,Sunny,Autumn
1/1/2023,70016,Clothing,North,150,137,297,55.574,24.914,56.378,1,Snowy,Spring
1/1/2023,70017,Electronics,North,141,91,303,56.60600000000001,20.17,57.596,1,Rainy,Autumn
1/1/2023,70018,Toys,West,118,120,393,54.45399999999999,25.688,55.294,1,Cloudy,Autumn
1/1/2023,70019,Clothing,South,128,98,175,55.21,25.108,54.164,1,Cloudy,Spring
1/1/2023,70020,Clothing,East,74,104,164,53.13199999999999,38.616,53.684000000000005,1,Cloudy,Summer
