Date,Product_ID,Product_Name,Category,Region,Units_Sold,Units_Ordered,Inventory_Level,Price,Discount,Competitor_Pricing,Holiday/Promotion,Weather_Condition,Seasonality
1/1/2022,916002,Ambarella,Fruits,North,18,18,23,568.12,0.20817,585.51,0,Sunny,Winter
1/1/2022,916002,Ambarella,Fruits,South,20,20,23,568.12,0.3893,540.27,0,Cloudy,Winter
1/1/2022,916002,Ambarella,Fruits,West,19,29,20,568.12,0.28801,624.26,0,Sunny,Winter
1/1/2022,916002,Ambarella,Fruits,East,67,67,133,568.12,0.30892,545.08,0,Sunny,Winter
1/1/2022,914000,Ash Plantains,Vegetables/Herbs,North,202,251,346,158.75,0.21749,179.01,0,Cloudy,Winter
1/1/2022,914000,Ash Plantains,Vegetables/Herbs,South,195,195,178,158.75,0.20275,179.84,0,Cloudy,Winter
1/1/2022,914000,Ash Plantains,Vegetables/Herbs,West,158,199,327,158.75,0.37446,153.96,0,Sunny,Winter
1/1/2022,914000,Ash Plantains,Vegetables/Herbs,East,189,338,444,158.75,0.16588,153.11,0,Sunny,Winter
1/1/2022,915001,Baby Potatoes,Vegetables/Herbs,North,40,53,121,720.84,0.18954,613.42,0,Sunny,Winter
1/1/2022,915001,Baby Potatoes,Vegetables/Herbs,South,46,55,51,720.84,0.28484,781.09,0,Sunny,Winter
1/1/2022,915001,Baby Potatoes,Vegetables/Herbs,West,60,74,155,720.84,0.38674,631.24,0,Sunny,Winter
1/1/2022,915001,Baby Potatoes,Vegetables/Herbs,East,21,40,61,720.84,0.32824,699.0,0,Sunny,Winter
1/1/2022,912113,Basil Leaves 50g,Vegetables/Herbs,North,56,56,171,101.03,0.16472,87.92,0,Rainy,Winter
1/1/2022,912113,Basil Leaves 50g,Vegetables/Herbs,South,10,10,83,101.03,0.26817,109.66,0,Sunny,Winter
1/1/2022,912113,Basil Leaves 50g,Vegetables/Herbs,West,18,18,92,101.03,0.1746,98.08,0,Sunny,Winter
1/1/2022,912113,Basil Leaves 50g,Vegetables/Herbs,East,25,25,19,101.03,0.26078,111.98,0,Sunny,Winter
1/1/2022,914004,Batana,Vegetables/Herbs,North,65,65,82,381.15,0.38163,413.75,0,Sunny,Winter
